product_id,price,date
3,4.4,2025-02-05
3,4.0,2025-01-17
3,5.1,2025-02-04
3,4.1,2025-02-16
3,2.2,2025-04-27
3,4.7,2025-01-02
3,4.3,2025-04-03
3,2.7,2025-02-08
3,4.8,2025-03-24
3,5.2,2025-03-16
2,3.6,2025-01-27
2,3.1,2025-04-19
2,5.0,2025-01-30
2,4.9,2025-02-12
2,3.3,2025-03-10
2,3.7,2025-03-08
2,3.4,2025-02-10
2,3.6,2025-01-28
2,3.2,2025-04-18
2,5.0,2025-01-07
1,5.4,2025-03-14
1,5.0,2025-04-03
1,4.1,2025-02-20
1,5.5,2025-02-23
1,5.2,2025-01-02
1,5.8,2025-05-08
1,4.1,2025-03-18
1,4.6,2025-01-21
1,4.4,2025-05-13
1,5.2,2025-05-08
