product_id,price,date
1,8.0,2025-04-25
1,8.9,2025-04-15
1,6.9,2025-04-22
1,9.4,2025-02-12
1,6.3,2025-03-11
1,8.7,2025-03-30
1,8.9,2025-03-10
1,8.9,2025-01-08
1,8.3,2025-02-15
1,9.5,2025-02-18
2,8.8,2025-02-02
2,9.0,2025-03-06
2,7.5,2025-04-28
2,5.6,2025-01-26
2,8.3,2025-02-22
2,6.5,2025-03-14
2,6.7,2025-04-29
2,8.2,2025-01-14
2,8.3,2025-01-15
2,5.8,2025-04-11
3,8.0,2025-02-05
3,4.2,2025-04-06
3,5.2,2025-05-09
3,8.0,2025-05-13
3,5.8,2025-01-13
3,8.4,2025-02-03
3,5.3,2025-05-02
3,6.5,2025-02-09
3,7.1,2025-03-18
3,8.5,2025-01-21
