product_id,price,date
1,2.7,2025-01-21
1,2.8,2025-03-14
1,4.1,2025-02-06
1,3.7,2025-01-10
1,2.7,2025-04-05
1,2.5,2025-03-19
1,2.4,2025-04-14
1,3.4,2025-03-04
1,2.7,2025-02-04
1,5.0,2025-03-12
2,2.4,2025-04-27
2,3.6,2025-02-16
2,5.1,2025-02-02
2,5.3,2025-04-27
2,2.1,2025-03-02
2,4.7,2025-03-31
2,4.4,2025-03-22
2,2.2,2025-04-26
2,4.8,2025-02-05
2,5.0,2025-05-04
3,3.9,2025-04-28
3,3.8,2025-05-10
3,5.7,2025-01-20
3,5.4,2025-02-02
3,2.0,2025-02-26
3,3.4,2025-04-11
3,4.1,2025-05-13
3,2.2,2025-02-13
3,4.0,2025-04-01
3,4.9,2025-01-06
4,4.9,2025-01-06
4,4.8,2025-01-06
4,4.6,2025-01-06
4,4.8,2025-01-06
